OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type
101110905,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,16,Pennsylvania,Unaffiliated,Private
101110905,4/13/2023,Gallery Lessons,Adult,PreK-12 Free,The Grayson School,19343,Radnor,-4,Pennsylvania,Unaffiliated,Private
101110905,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,-16,Pennsylvania,Unaffiliated,Private
101110905,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,-16,Pennsylvania,Unaffiliated,Private
101479578,4/13/2023,Gallery Lessons,Adult,PreK-12 Free,The Grayson School,19343,Radnor,4,Pennsylvania,Unaffiliated,Private
101479578,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,16,Pennsylvania,Unaffiliated,Private
101479578,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,16,Pennsylvania,Unaffiliated,Private
101056433,4/17/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,1,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,3,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,3,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,4,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-1,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-3,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-3,PA,Unaffiliated,Charter
101056433,4/17/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-4,PA,Unaffiliated,Charter
101009652,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,St. Joseph Pro-Cathedral School,08105-2229,Camden,2,NJ,Catholic Partnership Schools,Catholic
101009652,4/18/2023,Gallery Lessons,3rd Grade Student,PreK-12 Free,St. Joseph Pro-Cathedral School,08105-2229,Camden,35,NJ,Catholic Partnership Schools,Catholic
101009652,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,St. Joseph Pro-Cathedral School,08105-2229,Camden,2,NJ,Catholic Partnership Schools,Catholic
101047801,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,7,PA,Philadelphia City SD,Public
101047801,4/18/2023,Gallery Lessons,5th Grade Student + Special Exhibition,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,66,PA,Philadelphia City SD,Public
101047801,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-7,PA,Philadelphia City SD,Public
101047801,4/18/2023,Gallery Lessons,5th Grade Student + Special Exhibition,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-66,PA,Philadelphia City SD,Public
101094203,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,Southwark School,19123,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public
101094203,4/18/2023,Gallery Lessons,5th Grade Student,PreK-12 Free,Southwark School,19123,Philadelphia,50,Pennsylvania,Philadelphia City SD,Public
101094203,4/18/2023,Gallery Lessons,Adult,PreK-12 Free,Southwark School,19123,Philadelphia,-1,Pennsylvania,Philadelphia City SD,Public
101094203,4/18/2023,Gallery Lessons,5th Grade Student,PreK-12 Free,Southwark School,19123,Philadelphia,-20,Pennsylvania,Philadelphia City SD,Public
100944724,4/19/2023,Gallery Lessons,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,19,Pennsylvania,Philadelphia City SD,Public
100944724,4/19/2023,Gallery Lessons,Pre-K Student,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,38,Pennsylvania,Philadelphia City SD,Public
100944724,4/19/2023,Gallery Lessons,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,-19,Pennsylvania,Philadelphia City SD,Public
100944724,4/19/2023,Gallery Lessons,Pre-K Student,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,-38,Pennsylvania,Philadelphia City SD,Public
101111301,4/19/2023,Gallery Lessons,Adult,PreK-12,St. Peter's School,19147,Philadelphia,3,Pennsylvania,Unaffiliated,Private
101111301,4/19/2023,Gallery Lessons,4th Grade Student,PreK-12,St. Peter's School,19147,Philadelphia,7,Pennsylvania,Unaffiliated,Private
101111301,4/19/2023,Gallery Lessons,Adult,PreK-12,St. Peter's School,19147,Philadelphia,-3,Pennsylvania,Unaffiliated,Private
101111301,4/19/2023,Gallery Lessons,4th Grade Student,PreK-12,St. Peter's School,19147,Philadelphia,-7,Pennsylvania,Unaffiliated,Private
100973321,4/20/2023,Gallery Lessons,Adult,PreK-12 Free,Thomas Holme School,19114,Philadelphia,7,Pennsylvania,Philadelphia City SD,Public
100973321,4/20/2023,Gallery Lessons,8th Grade Student + Self-Guided + Special Exhibition,PreK-12 Free,Thomas Holme School,19114,Philadelphia,70,Pennsylvania,Philadelphia City SD,Public
100973321,4/20/2023,Gallery Lessons,Adult,PreK-12 Free,Thomas Holme School,19114,Philadelphia,-7,Pennsylvania,Philadelphia City SD,Public
100973321,4/20/2023,Gallery Lessons,8th Grade Student + Self-Guided + Special Exhibition,PreK-12 Free,Thomas Holme School,19114,Philadelphia,-70,Pennsylvania,Philadelphia City SD,Public
101081899,4/20/2023,Admission,Adult,PreK-12,Cherokee High School,08053-2550,Marlton,1,NJ,Lenape Regional SD,Public
101081899,4/20/2023,Admission,11th Grade Student,PreK-12,Cherokee High School,08053-2550,Marlton,6,NJ,Lenape Regional SD,Public
101081899,4/20/2023,Admission,12th Grade Student,PreK-12,Cherokee High School,08053-2550,Marlton,5,NJ,Lenape Regional SD,Public
100976694,2/24/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,37,Pennsylvania,Philadelphia City SD,Public
100976694,2/24/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,36,Pennsylvania,Philadelphia City SD,Public
100976694,2/24/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Stephen Girard School,19145,Philadelphia,-3,Pennsylvania,Philadelphia City SD,Public
100976694,2/24/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,-73,Pennsylvania,Philadelphia City SD,Public
101056433,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,1,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,3,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,1,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,3,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-1,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-3,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-1,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101056433,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
