school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
3408,3408,Mastery Charter School at Mann,Joel Boyd,Charter,Charters,Charters,District 4,K-6,Catchment,High School,557,585.0,0.7,0.4,86.9,5.8,4.5,0.2,1.6,23.7,3.8,91.7,,,43.6,74.5,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3408%5D_SP_SPREE_SPOTlight.pdf
3409,3409,Mastery Charter School at Smedley,Joel Boyd,Charter,Charters,Charters,District 7,K-6,Catchment,High School,782,797.0,0.4,0.3,61.1,31.1,4.1,0.3,2.8,28.3,5.9,98.3,,,41.8,72.3,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3409%5D_SP_SPREE_SPOTlight.pdf
3412,3412,Mastery Charter School at Douglass,Monique Dolcy,Charter,Charters,Charters,District 5,K-8,Catchment,High School,552,611.0,0.2,0.4,91.3,4.4,2.9,0.0,0.9,24.5,1.3,98.2,,,41.1,72.8,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3412%5D_SP_SPREE_SPOTlight.pdf
3415,3415,Mastery Charter School at Clymer,Joel Boyd,Charter,Charters,Charters,District 5,K-6,Catchment,High School,453,466.0,1.6,0.0,81.0,14.4,2.2,0.0,0.9,28.7,1.8,84.8,,,37.6,72.8,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3415%5D_SP_SPREE_SPOTlight.pdf
3416,3416,Mastery Charter School at Gratz,Erik Zipay and Kate McNulty,Charter,Charters,Charters,District 8,7-12,Catchment,High School,1043,,0.6,0.5,85.8,10.3,2.4,0.0,0.5,,2.6,95.1,,,38.5,72.6,,,18.8,14.0,33.7,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3416%5D_SP_SPREE_SPOTlight.pdf
3417,3417,Universal Charter School at Audenried,Penny Nixon,Charter,Charters,Charters,District 2,9-12,Catchment,High School,580,612.0,0.0,3.1,88.5,4.0,2.8,0.0,1.7,24.1,7.9,100.0,,,47.9,70.9,,,16.0,19.3,45.7,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3417%5D_SP_SPREE_SPOTlight.pdf
3418,3418,Universal Charter School at Vare,Penny Nixon,Charter,Charters,Charters,District 2,5-8,Catchment,High School,150,158.0,0.0,16.0,70.0,7.3,6.0,0.0,0.7,16.7,8.0,100.0,,,99.4,100.0,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3418%5D_SP_SPREE_SPOTlight.pdf
3419,3419,General David B. Birney Charter School,Margery Covello,Charter,Charters,Charters,District 8,K-8,Catchment,High School,724,752.0,0.1,0.6,82.3,6.8,9.1,0.1,1.0,23.8,5.3,94.9,,,32.7,63.0,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3419%5D_SP_SPREE_SPOTlight.pdf
3420,3420,Mastery Charter School at Cleveland,Max Tartar,Charter,Charters,Charters,District 8,K-8,Catchment,High School,751,784.0,0.7,0.0,87.0,6.7,5.2,0.0,0.5,22.2,2.4,96.3,,,53.4,80.1,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3420%5D_SP_SPREE_SPOTlight.pdf
3421,3421,Universal Charter School at Creighton,Penny Nixon,Charter,Charters,Charters,District 9,K-8,Catchment,High School,674,692.0,0.0,9.2,25.1,63.5,1.3,0.0,0.9,27.7,27.0,100.0,,,47.1,76.9,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3421%5D_SP_SPREE_SPOTlight.pdf
