OrganizationName,OrganizationZipCode,School District,School Type
Saint Joseph's Preparatory School,19130-1513,Unaffiliated,Catholic
Schwartz Preschool,19107,Unaffiliated,Private
Society Hill Synagogue Playschool,19148,Unaffiliated,Private
Souderton Area SHS,18964-2310,Souderton Area SD,Public
Springside Chestnut Hill Academy,19118-4126,Unaffiliated,Private
St Anselm Elementary School,19154,Archdiocese,Archdiocese
St Athanasius School,19138,Archdiocese of Philadelphia,Archdiocese
St Francis Xavier School,19130,Archdiocese of Philadelphia,Archdiocese
St Francis of Assisi School,19064,Archdiocese of Philadelphia,Archdiocese
St Margaret School,19072,Archdiocese of Philadelphia,Archdiocese
St Martha School,19154,Archdiocese of Philadelphia,Archdiocese
St Peter the Apostle School,19123,Archdiocese of Philadelphia,Archdiocese
St Raymond of Penafort,19027,Archdiocese of Philadelphia,Archdiocese
St. George School,19134,Archdiocese of Philadelphia,Archdiocese
St. Joseph Pro-Cathedral School,08105-2229,Catholic Partnership Schools,Catholic
St. Laurentius School,19125,Archdiocese of Philadelphia,Archdiocese
St. Marys Interparochial School,19106,Archdiocese of Philadelphia,Archdiocese
St. Paul's School for Girls,21022,Unaffiliated,Private
St. Peter's School,19147,Unaffiliated,Private
Strath Haven HS,19086-6333,Wallingford-Swarthmore SD,Public
The Agnes Irwin School,19010,Unaffiliated,Private
The Brooklyn Waldorf School,11237,Unaffiliated,Private 
The Catholic High School of Baltimore,21213,Unaffiliated,Catholic
The Crefeld School,19118-3604,Unaffiliated,Private
The Episcopal Academy,19073-1300,Unaffiliated,Private
The Gateway School,19096-1219,Unaffiliated,Private
The Grayson School,19343,Unaffiliated,Private
The Hill School,19464,Unaffiliated,Private
The Hun School of Princeton,8540,Independent,Private
The Lawrenceville School,8648,Unaffiliated,Private
The Rock School of Dance Education,19147,Unaffiliated,Private
The Shipley School,19010-3525,Unaffiliated,Private
The Tatnall School,19807,Unaffiliated,Private
Thomas H. Dudley Family School,8105,Camden City SD,Public
Trinity Playgroup,19103-6503,Unaffiliated,Other
Trinity School,10024,Independent,Private
Tyler Creative Scholars Program,19122,Unaffiliated,Other
Unionville HS,19348-1531,Unionville-Chadds Ford SD,Public
Upland Country Day School,19348,Unaffiliated,Private
Ursuline Academy,19806,Wilmington SD,Private
Valley Forge Military Academy,19087,Unaffiliated,Private
Vaux High School: A Big Picture,PA,Philadelphia City SD,Public
Veterans Memorial Family School,8105,Camden City SD,Public
Waldorf School of Philadelphia,19144,Unaffiliated,Private
Waldron Mercy Academy,19066,Archdiocese of Philadelphia,Archdiocese
Wallingford-Swarthmore SD,19086,Wallingford-Swarthmore SD,Other
West Phila. Achievement CES,19151,Unaffiliated,Charter
West-Mont Christian Academy,19465,Unaffiliated,Private
Westtown School,19382,Unaffiliated,Private
Widener Memorial School,19141,Philadelphia City SD,Public
Wiley H. Bates Middle School,21401,Anne Arundel County,Public
William Allen HS,18102,Allentown City SD,Public
William Penn Charter School,19144-5412,Unaffiliated,Charter
Wilson HS,19609,Wilson SD,Public
Windswept Writers,19123,Unaffiliated,Other
Winslow Township Elementary School Two,08081-3412,Winslow Township SD,Public
Wissahickon CS - Awbury,19138-1023,Unaffiliated,Charter
Wissahickon CS - Fernhill,19144,Unaffiliated,Charter
Woodland Middle School,8007,Barrnington Public SD,Public
